
[Customer] : 'Andrea Crisci'  [Key] : '12680e50-90da-4a61-a1d1-1cfea4e9cacf'
ShopData{name='Andrea Crisci', date='06/12/2023', productName='sugar'}
ShopData{name='Andrea Crisci', date='01/12/2023', productName='fish'}
ShopData{name='Andrea Crisci', date='28/09/2023', productName='cooking chocolate'}
ShopData{name='Andrea Crisci', date='23/05/2023', productName='newspapers'}
ShopData{name='Andrea Crisci', date='15/05/2023', productName='tropical fruit'}
ShopData{name='Andrea Crisci', date='21/03/2023', productName='meat spreads'}
ShopData{name='Andrea Crisci', date='01/03/2023', productName='sliced cheese'}

[Customer] : 'Laura Walton'  [Key] : 'd44acb3a-03a9-46e9-9e6c-4980cb5202c6'
ShopData{name='Laura Walton', date='02/12/2023', productName='frozen fruits'}
ShopData{name='Laura Walton', date='16/11/2023', productName='sausage'}
ShopData{name='Laura Walton', date='12/11/2023', productName='skin care'}
ShopData{name='Laura Walton', date='03/07/2023', productName='baby cosmetics'}
ShopData{name='Laura Walton', date='08/04/2023', productName='photo/film'}
ShopData{name='Laura Walton', date='26/03/2023', productName='cocoa drinks'}

[Customer] : 'Brett Hairston'  [Key] : '42378149-728b-4ca8-86ea-b0a923c959a1'
ShopData{name='Brett Hairston', date='29/11/2023', productName='frozen potato products'}
ShopData{name='Brett Hairston', date='13/11/2023', productName='female sanitary products'}
ShopData{name='Brett Hairston', date='08/11/2023', productName='prosecco'}
ShopData{name='Brett Hairston', date='26/10/2023', productName='vinegar'}
ShopData{name='Brett Hairston', date='15/10/2023', productName='chewing gum'}
ShopData{name='Brett Hairston', date='25/05/2023', productName='flower soil/fertilizer'}
ShopData{name='Brett Hairston', date='24/04/2023', productName='frozen meals'}
ShopData{name='Brett Hairston', date='11/04/2023', productName='tropical fruit'}

[Customer] : 'Genevieve Miller'  [Key] : 'e2bc99cc-401e-4354-809d-428c2f4380d3'
ShopData{name='Genevieve Miller', date='20/09/2023', productName='flower soil/fertilizer'}
ShopData{name='Genevieve Miller', date='06/09/2023', productName='preservation products'}
ShopData{name='Genevieve Miller', date='28/07/2023', productName='citrus fruit'}
ShopData{name='Genevieve Miller', date='21/07/2023', productName='chocolate marshmallow'}
ShopData{name='Genevieve Miller', date='11/07/2023', productName='cooking chocolate'}
ShopData{name='Genevieve Miller', date='27/06/2023', productName='whisky'}
ShopData{name='Genevieve Miller', date='08/06/2023', productName='liquor'}
ShopData{name='Genevieve Miller', date='27/05/2023', productName='newspapers'}
ShopData{name='Genevieve Miller', date='14/05/2023', productName='red/blush wine'}
ShopData{name='Genevieve Miller', date='09/05/2023', productName='liver loaf'}
ShopData{name='Genevieve Miller', date='01/03/2023', productName='snack products'}
ShopData{name='Genevieve Miller', date='28/01/2023', productName='dish cleaner'}
ShopData{name='Genevieve Miller', date='25/12/2022', productName='cleaner'}

[Customer] : 'Pearl Schwartz'  [Key] : '543aa291-ec10-4d53-a4ad-ccc880128307'
ShopData{name='Pearl Schwartz', date='25/10/2023', productName='seasonal products'}
ShopData{name='Pearl Schwartz', date='04/10/2023', productName='spread cheese'}
ShopData{name='Pearl Schwartz', date='13/09/2023', productName='liqueur'}
ShopData{name='Pearl Schwartz', date='13/09/2023', productName='butter milk'}
ShopData{name='Pearl Schwartz', date='13/07/2023', productName='cake bar'}
ShopData{name='Pearl Schwartz', date='24/06/2023', productName='dessert'}
ShopData{name='Pearl Schwartz', date='21/01/2023', productName='brandy'}

[Customer] : 'Jerome Wigley'  [Key] : 'd055aa43-a90c-477b-92ba-d98b3f26f129'
ShopData{name='Jerome Wigley', date='28/11/2023', productName='chocolate marshmallow'}
ShopData{name='Jerome Wigley', date='14/11/2023', productName='soft cheese'}
ShopData{name='Jerome Wigley', date='14/11/2023', productName='curd'}
ShopData{name='Jerome Wigley', date='01/11/2023', productName='chicken'}
ShopData{name='Jerome Wigley', date='18/09/2023', productName='mayonnaise'}
ShopData{name='Jerome Wigley', date='06/09/2023', productName='pasta'}
ShopData{name='Jerome Wigley', date='06/08/2023', productName='pickled vegetables'}
ShopData{name='Jerome Wigley', date='24/07/2023', productName='bathroom cleaner'}
ShopData{name='Jerome Wigley', date='03/07/2023', productName='potato products'}
ShopData{name='Jerome Wigley', date='17/04/2023', productName='brown bread'}
ShopData{name='Jerome Wigley', date='08/04/2023', productName='white bread'}

[Customer] : 'Alison Grams'  [Key] : '5493e435-ca5d-408b-9117-68cef0f2333a'
ShopData{name='Alison Grams', date='01/10/2023', productName='fish'}
ShopData{name='Alison Grams', date='20/09/2023', productName='canned beer'}
ShopData{name='Alison Grams', date='23/08/2023', productName='canned vegetables'}
ShopData{name='Alison Grams', date='12/08/2023', productName='instant coffee'}
ShopData{name='Alison Grams', date='08/08/2023', productName='tea'}
ShopData{name='Alison Grams', date='05/08/2023', productName='organic products'}
ShopData{name='Alison Grams', date='05/07/2023', productName='abrasive cleaner'}
ShopData{name='Alison Grams', date='15/02/2023', productName='sweet spreads'}

[Customer] : 'Amber Veal'  [Key] : '7b816fad-a41e-4ba8-8974-42c4b2eb4860'
ShopData{name='Amber Veal', date='07/11/2023', productName='yogurt'}
ShopData{name='Amber Veal', date='02/11/2023', productName='meat'}
ShopData{name='Amber Veal', date='28/10/2023', productName='pastry'}
ShopData{name='Amber Veal', date='01/10/2023', productName='salad dressing'}
ShopData{name='Amber Veal', date='05/07/2023', productName='frozen chicken'}
ShopData{name='Amber Veal', date='15/06/2023', productName='liqueur'}
ShopData{name='Amber Veal', date='10/04/2023', productName='ketchup'}
ShopData{name='Amber Veal', date='25/03/2023', productName='mustard'}
ShopData{name='Amber Veal', date='28/12/2022', productName='honey'}

[Customer] : 'Joshua Blue'  [Key] : 'ed0025a3-1f4c-4928-8408-ae8d59b32ebf'
ShopData{name='Joshua Blue', date='30/11/2023', productName='mustard'}
ShopData{name='Joshua Blue', date='21/10/2023', productName='flower soil/fertilizer'}
ShopData{name='Joshua Blue', date='28/09/2023', productName='vinegar'}
ShopData{name='Joshua Blue', date='25/09/2023', productName='baby cosmetics'}
ShopData{name='Joshua Blue', date='12/09/2023', productName='candy'}
ShopData{name='Joshua Blue', date='07/09/2023', productName='kitchen towels'}
ShopData{name='Joshua Blue', date='06/09/2023', productName='snack products'}
ShopData{name='Joshua Blue', date='23/08/2023', productName='misc. beverages'}
ShopData{name='Joshua Blue', date='20/08/2023', productName='bottled beer'}
ShopData{name='Joshua Blue', date='20/07/2023', productName='soap'}
ShopData{name='Joshua Blue', date='11/07/2023', productName='meat'}
ShopData{name='Joshua Blue', date='03/07/2023', productName='frankfurter'}
ShopData{name='Joshua Blue', date='26/06/2023', productName='white bread'}
ShopData{name='Joshua Blue', date='24/03/2023', productName='toilet cleaner'}

[Customer] : 'Helen Masterson'  [Key] : '577b26fb-f1a7-41c8-b7fe-58be3fb77618'
ShopData{name='Helen Masterson', date='18/10/2023', productName='specialty fat'}
ShopData{name='Helen Masterson', date='28/09/2023', productName='dental care'}
ShopData{name='Helen Masterson', date='31/08/2023', productName='red/blush wine'}
ShopData{name='Helen Masterson', date='12/07/2023', productName='liqueur'}
ShopData{name='Helen Masterson', date='28/06/2023', productName='red/blush wine'}
ShopData{name='Helen Masterson', date='15/05/2023', productName='onions'}
ShopData{name='Helen Masterson', date='26/02/2023', productName='frozen chicken'}

[Customer] : 'Rosario William'  [Key] : '8aaefc0c-b449-4cee-9286-34fed885820b'
ShopData{name='Rosario William', date='20/10/2023', productName='misc. beverages'}
ShopData{name='Rosario William', date='30/08/2023', productName='salt'}
ShopData{name='Rosario William', date='29/06/2023', productName='onions'}
ShopData{name='Rosario William', date='27/06/2023', productName='instant coffee'}
ShopData{name='Rosario William', date='14/06/2023', productName='semi-finished bread'}
ShopData{name='Rosario William', date='01/06/2023', productName='finished products'}
ShopData{name='Rosario William', date='12/05/2023', productName='bathroom cleaner'}
ShopData{name='Rosario William', date='01/04/2023', productName='dish cleaner'}
ShopData{name='Rosario William', date='20/03/2023', productName='mustard'}

[Customer] : 'Harold Copes'  [Key] : '0a078175-0786-401b-a6bc-11a845de85f6'
ShopData{name='Harold Copes', date='23/11/2023', productName='turkey'}
